vpn
10.107.31.1
10.225.2.10
10.225.48.1
am04-vpn-mgmt.internal.synopsys.com
am04-vpn-vm-int.internal.synopsys.com
am04-vpn-vm-mgmt.internal.synopsys.com
ca06-vpn-vm.internal.synopsys.com
cl01-vpn-1-int.internal.synopsys.com
cl01-vpn-1-mgmt.internal.synopsys.com
cn30-ram-1.internal.synopsys.com
cn42-ram-1.internal.synopsys.com
cn42-vpn-vm.internal.synopsys.com
cn42-vpn-vm-mgmt.internal.synopsys.com
cn42-vpn-vm-old.internal.synopsys.com
cn58-vpn-mgmt.internal.synopsys.com
fr65-vpn-int.internal.synopsys.com
gb01-vpn-int.internal.synopsys.com
hqdc-vpn-1-mgmt.internal.synopsys.com
hqdc-vpn-2-mgmt.internal.synopsys.com
il01-vpn-int.internal.synopsys.com
in19-vpn-mgmt.internal.synopsys.com
indc-vpn-1-mgmt.internal.synopsys.com
indc-vpn-2-mgmt.internal.synopsys.com
jp01-vpn-int.internal.synopsys.com
kr02-ram-1.internal.synopsys.com
mdc-vpn-ps3000-int.internal.synopsys.com
pl01-ram-1.internal.synopsys.com
pt01-ram-1.internal.synopsys.com
ru20-vpn-vm.internal.synopsys.com
ru20-vpn-vm-mgmt.internal.synopsys.com
se80-ram-1.internal.synopsys.com
tw01-ram-1.internal.synopsys.com
tw52-vpn-int.internal.synopsys.com
tw52-vpn-vm.internal.synopsys.com
tw52-vpn-vm-old.internal.synopsys.com
us03-vpn-1-mgmt.internal.synopsys.com
us03-vpn-2-mgmt.internal.synopsys.com
us04-ram-1.internal.synopsys.com
