BADC
CA06
CA09
CA11
CA14
CA15
CA17
CA42
CL01
IndyDC
International
Netlab
RDC
SDC
Solarwinds-INTL
SV1
SV2
US01-A
US01-B
US02
US03
US04
US05
US08
US11
US16
US18
US1A
US20
US26
US27
US28
US36
US38
US47
US54
US59
US6A
US6D
US6J
US6L
US6M
US6O
US6P
US6S
US7M
US7N
US8E
US8K
US8W
US95
USSV
VADC
Acceso
AM04
BE06
CH10
CN08
CN30
CN32
CN34
CN42
CN59
CN63
DE02
DE04
DE06
DE11
DK03
FI01
FI03
FR01
FR03
FR10
FR42
FR65
GB01
GB11
GB12
GB14
GB15
GB50
GB72
HK02
HU01
IE02
IL01
IN01
IN08
IN09
IN17
IN18
IN19
IN23
IN24
IN25
IN32
IN33
IN35
IN45
IN46
IN47
IN74
IN7b
INDC
IT01
JP01
JP02
KR02
KR05
LK01
LK02
MDC
MO90
MY01
NL03
NL20
PL01
Powerink
PT01
PT02
RU20
SE80
SG01
Solarwinds-US
TW01
TW04
TW52
US
