User,WorkingHours,@timestamp,BU,type
hovsepa,5:14:52,2020-06-22 19:34:52.206140,DG,elk
yevgenia,5:36:52,2020-06-22 19:34:52.206140,DG,elk
grigorh,23:12:39,2020-06-22 19:34:52.206140,DG,elk
shushann,18:52:49,2020-06-22 19:34:52.206140,DG,elk
anush,6:09:36,2020-06-22 19:34:52.206140,DG,elk
arturb,3:17:59,2020-06-22 19:34:52.206140,DG,elk
lianab,13:55:28,2020-06-22 19:34:52.206140,DG,elk
hovs,3:14:07,2020-06-22 19:34:52.206140,DG,elk
hov,8:18:04,2020-06-22 19:34:52.206140,DG,elk
tadevosy,7:17:31,2020-06-22 19:34:52.206140,DG,elk
yurime,0:02:20,2020-06-22 19:34:52.206140,DG,elk
arman,8:45:15,2020-06-22 19:34:52.206140,DG,elk
alaverdy,6:06:30,2020-06-22 19:34:52.206140,DG,elk
vardanh,1:44:22,2020-06-22 19:34:52.206140,DG,elk
aramh,2:21:06,2020-06-22 19:34:52.206140,DG,elk
valeri,6:06:19,2020-06-22 19:34:52.206140,DG,elk
ghevond,11:56:11,2020-06-22 19:34:52.206140,DG,elk
nahapety,11:28:56,2020-06-22 19:34:52.206140,DG,elk
armanm,9:21:31,2020-06-22 19:34:52.206140,DG,elk
gha,9:25:39,2020-06-22 19:34:52.206140,DG,elk
armanmir,6:07:57,2020-06-22 19:34:52.206140,DG,elk
karo,12:46:11,2020-06-22 19:34:52.206140,DG,elk
anim,9:20:17,2020-06-22 19:34:52.206140,DG,elk
armanh,5:53:09,2020-06-22 19:34:52.206140,DG,elk
argam,12:23:20,2020-06-22 19:34:52.206140,DG,elk
and,12:27:54,2020-06-22 19:34:52.206140,DG,elk
yevgeni,10:03:50,2020-06-22 19:34:52.206140,DG,elk
manuksh,12:41:04,2020-06-22 19:34:52.206140,DG,elk
vahed,13:39:51,2020-06-22 19:34:52.206140,DG,elk
xcho,13:57:40,2020-06-22 19:34:52.206140,DG,elk
zvart,11:08:26,2020-06-22 19:34:52.206140,DG,elk
rodr,14:04:23,2020-06-22 19:34:52.206140,DG,elk
estebanv,12:12:46,2020-06-22 19:34:52.206140,DG,elk
kashif,4:22:23,2020-06-22 19:34:52.206140,DG,elk
micha,1:36:04,2020-06-22 19:34:52.206140,DG,elk
alvarez,5:07:39,2020-06-22 19:34:52.206140,DG,elk
acha,1:59:40,2020-06-22 19:34:52.206140,DG,elk
victorg,9:57:54,2020-06-22 19:34:52.206140,DG,elk
joaquinv,4:15:40,2020-06-22 19:34:52.206140,DG,elk
orellana,0:15:31,2020-06-22 19:34:52.206140,DG,elk
cjavier,2:16:15,2020-06-22 19:34:52.206140,DG,elk
verboven,0:40:31,2020-06-22 19:34:52.206140,DG,elk
mramire,16:56:01,2020-06-22 19:34:52.206140,DG,elk
jjarami,1:28:23,2020-06-22 19:34:52.206140,DG,elk
antinopa,3:48:06,2020-06-22 19:34:52.206140,DG,elk
cvaldes,3:40:49,2020-06-22 19:34:52.206140,DG,elk
tomasw,2:13:30,2020-06-22 19:34:52.206140,DG,elk
casafont,3:17:50,2020-06-22 19:34:52.206140,DG,elk
maggieli,21:04:12,2020-06-22 19:34:52.206140,DG,elk
feimo,15:21:18,2020-06-22 19:34:52.206140,DG,elk
jianhoa,12:58:00,2020-06-22 19:34:52.206140,DG,elk
yhguo,21:32:33,2020-06-22 19:34:52.206140,DG,elk
yananw,0:13:46,2020-06-22 19:34:52.206140,DG,elk
yongling,5:20:42,2020-06-22 19:34:52.206140,DG,elk
ruilin,13:44:57,2020-06-22 19:34:52.206140,DG,elk
lkong,7:40:43,2020-06-22 19:34:52.206140,DG,elk
pzhang,6:19:31,2020-06-22 19:34:52.206140,DG,elk
weiqi,0:57:25,2020-06-22 19:34:52.206140,DG,elk
liuy,8:48:34,2020-06-22 19:34:52.206140,DG,elk
ycw,0:42:04,2020-06-22 19:34:52.206140,DG,elk
kaiz,11:24:27,2020-06-22 19:34:52.206140,DG,elk
liyaxiao,0:16:45,2020-06-22 19:34:52.206140,DG,elk
did,10:05:41,2020-06-22 19:34:52.206140,DG,elk
xpsun,13:02:59,2020-06-22 19:34:52.206140,DG,elk
hongbo,15:05:29,2020-06-22 19:34:52.206140,DG,elk
jbli,1:09:28,2020-06-22 19:34:52.206140,DG,elk
yanc,9:23:31,2020-06-22 19:34:52.206140,DG,elk
xiaom,11:12:07,2020-06-22 19:34:52.206140,DG,elk
xzchen,9:39:13,2020-06-22 19:34:52.206140,DG,elk
kun,7:50:17,2020-06-22 19:34:52.206140,DG,elk
ylyang,13:13:38,2020-06-22 19:34:52.206140,DG,elk
xwan,0:20:38,2020-06-22 19:34:52.206140,DG,elk
cshi,10:44:33,2020-06-22 19:34:52.206140,DG,elk
jingwu,10:03:30,2020-06-22 19:34:52.206140,DG,elk
wanx,4:11:59,2020-06-22 19:34:52.206140,DG,elk
longc,15:13:44,2020-06-22 19:34:52.206140,DG,elk
xsli,1:06:19,2020-06-22 19:34:52.206140,DG,elk
ylu,14:53:44,2020-06-22 19:34:52.206140,DG,elk
ahmeds,0:00:05,2020-06-22 19:34:52.206140,DG,elk
xinxinw,7:22:44,2020-06-22 19:34:52.206140,DG,elk
yanyanm,9:18:30,2020-06-22 19:34:52.206140,DG,elk
cli,21:44:14,2020-06-22 19:34:52.206140,DG,elk
xingc,3:01:17,2020-06-22 19:34:52.206140,DG,elk
fjchen,6:29:33,2020-06-22 19:34:52.206140,DG,elk
yanchen,5:40:09,2020-06-22 19:34:52.206140,DG,elk
junl,13:43:39,2020-06-22 19:34:52.206140,DG,elk
yanan,9:25:05,2020-06-22 19:34:52.206140,DG,elk
xue,6:50:21,2020-06-22 19:34:52.206140,DG,elk
chunxi,0:56:29,2020-06-22 19:34:52.206140,DG,elk
weihu,15:01:45,2020-06-22 19:34:52.206140,DG,elk
qiao,8:36:26,2020-06-22 19:34:52.206140,DG,elk
weiqiang,0:18:21,2020-06-22 19:34:52.206140,DG,elk
wangl,9:37:16,2020-06-22 19:34:52.206140,DG,elk
yifan,9:13:30,2020-06-22 19:34:52.206140,DG,elk
ruochen,7:43:52,2020-06-22 19:34:52.206140,DG,elk
jindi,9:13:05,2020-06-22 19:34:52.206140,DG,elk
zbai,8:08:53,2020-06-22 19:34:52.206140,DG,elk
yunfeng,0:04:10,2020-06-22 19:34:52.206140,DG,elk
ziying,18:09:57,2020-06-22 19:34:52.206140,DG,elk
ycao,11:12:10,2020-06-22 19:34:52.206140,DG,elk
zhiqiang,6:10:27,2020-06-22 19:34:52.206140,DG,elk
mhni,18:21:20,2020-06-22 19:34:52.206140,DG,elk
leiwa,15:13:13,2020-06-22 19:34:52.206140,DG,elk
qiongliu,23:39:50,2020-06-22 19:34:52.206140,DG,elk
liuxd,12:48:33,2020-06-22 19:34:52.206140,DG,elk
minji,14:16:42,2020-06-22 19:34:52.206140,DG,elk
yanhua,21:07:11,2020-06-22 19:34:52.206140,DG,elk
ttli,12:33:37,2020-06-22 19:34:52.206140,DG,elk
yujian,15:58:59,2020-06-22 19:34:52.206140,DG,elk
bshi,3:28:45,2020-06-22 19:34:52.206140,DG,elk
hezhu,14:38:40,2020-06-22 19:34:52.206140,DG,elk
czhao,11:23:09,2020-06-22 19:34:52.206140,DG,elk
yuwang,11:36:27,2020-06-22 19:34:52.206140,DG,elk
liuw,13:16:57,2020-06-22 19:34:52.206140,DG,elk
nfan,2:33:18,2020-06-22 19:34:52.206140,DG,elk
umino,0:04:29,2020-06-22 19:34:52.206140,DG,elk
ycyang,6:31:05,2020-06-22 19:34:52.206140,DG,elk
haoche,3:36:40,2020-06-22 19:34:52.206140,DG,elk
bshao,9:40:10,2020-06-22 19:34:52.206140,DG,elk
yjzh,11:26:14,2020-06-22 19:34:52.206140,DG,elk
yichun,4:40:47,2020-06-22 19:34:52.206140,DG,elk
qxiong,7:09:12,2020-06-22 19:34:52.206140,DG,elk
ytan,14:28:23,2020-06-22 19:34:52.206140,DG,elk
jinchao,18:59:32,2020-06-22 19:34:52.206140,DG,elk
szhang,3:36:19,2020-06-22 19:34:52.206140,DG,elk
jitian,3:17:51,2020-06-22 19:34:52.206140,DG,elk
leic,14:14:14,2020-06-22 19:34:52.206140,DG,elk
fangm,8:30:40,2020-06-22 19:34:52.206140,DG,elk
zhu,13:57:18,2020-06-22 19:34:52.206140,DG,elk
xiaojin,3:05:17,2020-06-22 19:34:52.206140,DG,elk
hou,13:42:43,2020-06-22 19:34:52.206140,DG,elk
liangw,1:56:30,2020-06-22 19:34:52.206140,DG,elk
wenqinj,4:00:56,2020-06-22 19:34:52.206140,DG,elk
glji,0:58:55,2020-06-22 19:34:52.206140,DG,elk
yunfang,0:54:16,2020-06-22 19:34:52.206140,DG,elk
ttjiang,1:08:41,2020-06-22 19:34:52.206140,DG,elk
xgliu,0:32:11,2020-06-22 19:34:52.206140,DG,elk
lpzhao,0:11:11,2020-06-22 19:34:52.206140,DG,elk
juns,0:07:40,2020-06-22 19:34:52.206140,DG,elk
qwang,1:26:50,2020-06-22 19:34:52.206140,DG,elk
lisun,9:05:38,2020-06-22 19:34:52.206140,DG,elk
wangjun,23:53:28,2020-06-22 19:34:52.206140,DG,elk
pengchi,10:37:38,2020-06-22 19:34:52.206140,DG,elk
zhenyu,9:14:11,2020-06-22 19:34:52.206140,DG,elk
yuzh,12:43:43,2020-06-22 19:34:52.206140,DG,elk
gye,11:33:28,2020-06-22 19:34:52.206140,DG,elk
jili,22:04:15,2020-06-22 19:34:52.206140,DG,elk
jizhang,8:02:42,2020-06-22 19:34:52.206140,DG,elk
xiaowex,13:38:35,2020-06-22 19:34:52.206140,DG,elk
zhl,13:58:15,2020-06-22 19:34:52.206140,DG,elk
jyao,2:23:08,2020-06-22 19:34:52.206140,DG,elk
zeng,2:20:11,2020-06-22 19:34:52.206140,DG,elk
yueli,0:52:45,2020-06-22 19:34:52.206140,DG,elk
mingjuw,3:01:45,2020-06-22 19:34:52.206140,DG,elk
qinzhang,2:45:00,2020-06-22 19:34:52.206140,DG,elk
shuqin,1:07:54,2020-06-22 19:34:52.206140,DG,elk
xzha,2:36:21,2020-06-22 19:34:52.206140,DG,elk
zilong,6:19:50,2020-06-22 19:34:52.206140,DG,elk
yzcui,0:31:37,2020-06-22 19:34:52.206140,DG,elk
zsun,0:33:17,2020-06-22 19:34:52.206140,DG,elk
hozhu,0:53:19,2020-06-22 19:34:52.206140,DG,elk
jxfan,3:48:24,2020-06-22 19:34:52.206140,DG,elk
zzgu,0:37:23,2020-06-22 19:34:52.206140,DG,elk
huans,2:23:07,2020-06-22 19:34:52.206140,DG,elk
junma,3:39:12,2020-06-22 19:34:52.206140,DG,elk
ran,0:56:37,2020-06-22 19:34:52.206140,DG,elk
yanzhou,1:52:52,2020-06-22 19:34:52.206140,DG,elk
yihua,1:21:02,2020-06-22 19:34:52.206140,DG,elk
enchen,4:15:32,2020-06-22 19:34:52.206140,DG,elk
tra,0:14:28,2020-06-22 19:34:52.206140,DG,elk
rayliu,1:52:02,2020-06-22 19:34:52.206140,DG,elk
shengyan,1:05:23,2020-06-22 19:34:52.206140,DG,elk
hqyu,2:11:16,2020-06-22 19:34:52.206140,DG,elk
yhu,1:31:31,2020-06-22 19:34:52.206140,DG,elk
tedong,1:01:23,2020-06-22 19:34:52.206140,DG,elk
zjli,1:56:30,2020-06-22 19:34:52.206140,DG,elk
hmhua,2:24:42,2020-06-22 19:34:52.206140,DG,elk
jierao,2:09:28,2020-06-22 19:34:52.206140,DG,elk
ziqi,3:39:48,2020-06-22 19:34:52.206140,DG,elk
xuehai,2:26:51,2020-06-22 19:34:52.206140,DG,elk
xialiou,2:40:54,2020-06-22 19:34:52.206140,DG,elk
ruolan,1:05:17,2020-06-22 19:34:52.206140,DG,elk
zhenli,4:23:51,2020-06-22 19:34:52.206140,DG,elk
yulong,12:58:12,2020-06-22 19:34:52.206140,DG,elk
niu,2:54:37,2020-06-22 19:34:52.206140,DG,elk
fguo,0:09:33,2020-06-22 19:34:52.206140,DG,elk
mijin,1:16:22,2020-06-22 19:34:52.206140,DG,elk
lmd,0:36:19,2020-06-22 19:34:52.206140,DG,elk
hjzhang,0:29:19,2020-06-22 19:34:52.206140,DG,elk
jidong,0:51:52,2020-06-22 19:34:52.206140,DG,elk
hxli,0:31:03,2020-06-22 19:34:52.206140,DG,elk
xinweiw,1:07:57,2020-06-22 19:34:52.206140,DG,elk
fangy,1:45:03,2020-06-22 19:34:52.206140,DG,elk
xizhang,0:56:51,2020-06-22 19:34:52.206140,DG,elk
bangliu,0:37:24,2020-06-22 19:34:52.206140,DG,elk
ytian,4:06:54,2020-06-22 19:34:52.206140,DG,elk
weif,3:28:18,2020-06-22 19:34:52.206140,DG,elk
zhongzh,1:37:24,2020-06-22 19:34:52.206140,DG,elk
kfge,3:50:16,2020-06-22 19:34:52.206140,DG,elk
jianchz,1:47:45,2020-06-22 19:34:52.206140,DG,elk
shuqi,7:03:39,2020-06-22 19:34:52.206140,DG,elk
fanz,12:36:51,2020-06-22 19:34:52.206140,DG,elk
dongli,4:43:36,2020-06-22 19:34:52.206140,DG,elk
minjing,9:00:01,2020-06-22 19:34:52.206140,DG,elk
lih,0:14:36,2020-06-22 19:34:52.206140,DG,elk
fionayu,7:48:53,2020-06-22 19:34:52.206140,DG,elk
hyyin,5:19:23,2020-06-22 19:34:52.206140,DG,elk
yanqing,0:10:32,2020-06-22 19:34:52.206140,DG,elk
ander,0:33:41,2020-06-22 19:34:52.206140,DG,elk
