items,@timestamp,serialnumber,type
cn30-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW1952C1EL,Serial_int
il01-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SPE193100L2,Serial_int
il01-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1952U1QE,Serial_int
il01-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2004E0V3,Serial_int
cn42-c3650-console,2020-12-12 14:30:13.203156,FDO1914E0NS,Serial_int
cn42-c6880-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SAL1951VGC7,Serial_int
mdc-n5548-1a,2020-12-12 14:30:13.203156,SSI163507LQ,Serial_int
mdc-n5548-1b,2020-12-12 14:30:13.203156,SSI16340HET,Serial_int
tw01-c6880-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SAL1925H1LH,Serial_int
tw04-c4510-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1938Q23A,Serial_int
tw04-n3000-1,2020-12-12 14:30:13.203156,FOC1943R01B,Serial_int
gb11-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2020W0LV,Serial_int
gb11-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2015D05Z,Serial_int
fi01-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2019E0TP,Serial_int
de02-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2025Q1K5,Serial_int
am04-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,SPE182500C0,Serial_int
gb12-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2103A1X1,Serial_int
in32-a7030,2020-12-12 14:30:13.203156,FDO2108E027,Serial_int
lk01-c3650-4.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2108E02F,Serial_int
lk01-c3650-5.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2108E02M,Serial_int
lk01-c3650-6.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2022Q2BJ,Serial_int
lk01-c3650-7.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL2113112F,Serial_int
ca42-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2019Q0GE,Serial_int
MDC-fw1,2020-12-12 14:30:13.203156,FOC2141U0N5,Serial_int
jp01-fw01,2020-12-12 14:30:13.203156,FDO1522Z0PT,Serial_int
jp01-fw02,2020-12-12 14:30:13.203156,FDO24261L9E,Serial_int
BE06-FW01,2020-12-12 14:30:13.203156,SSI15180ME7,Serial_int
sg01-fw01,2020-12-12 14:30:13.203156,FOC2102X00C,Serial_int
fi03-fw01,2020-12-12 14:30:13.203156,SG614SU02R,Serial_int
ie02-fw01,2020-12-12 14:30:13.203156,FOX1550G2V0,Serial_int
IT01-FW01,2020-12-12 14:30:13.203156,SSI154802HD,Serial_int
mdc-fw02,2020-12-12 14:30:13.203156,FOX1550G2T5,Serial_int
nl20-lab-fw01.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL215280AW,Serial_int
indc-fw01,2020-12-12 14:30:13.203156,FGL21528098,Serial_int
indc-fw02,2020-12-12 14:30:13.203156,FOC2118X1XF,Serial_int
CN63-FW01,2020-12-12 14:30:13.203156,JAE17250GWA,Serial_int
CN42-FW01,2020-12-12 14:30:13.203156,FCW2136F0WW,Serial_int
CN42-FW02,2020-12-12 14:30:13.203156,JAD213703XV,Serial_int
pt01-fw01-int.internal.synopsys.com,2020-12-12 14:30:13.203156,FGL213380YA,Serial_int
pt02-fw01-int.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO2136Q0TK,Serial_int
SE80-FW01,2020-12-12 14:30:13.203156,FDO1642H16T,Serial_int
jp01-pan-1,2020-12-12 14:30:13.203156,FLM2122V1TK,Serial_int
jp01-pan-2,2020-12-12 14:30:13.203156,FDO2133E060,Serial_int
mo90-fw01,2020-12-12 14:30:13.203156,FDO2136E1C7,Serial_int
jp02-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2126Q218,Serial_int
jp02-c3850-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS2127Q0ZG,Serial_int
jp02-c2960-training.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC2126L2DY,Serial_int
