items,@timestamp,serialnumber,type
US08-FW01,2020-12-12 14:30:13.203156,FJC2123D0V5,Serial_us
US11-FW01,2020-12-12 14:30:13.203156,FJC2124D08A,Serial_us
ca14-lab-fw01,2020-12-12 14:30:13.203156,FJC2108D0K1,Serial_us
ca14-lab-fw02,2020-12-12 14:30:13.203156,FJC2124D08G,Serial_us
ca06-pan-1,2020-12-12 14:30:13.203156,FCW2124B5G1,Serial_us
ca06-pan-2,2020-12-12 14:30:13.203156,FJC2124D089,Serial_us
us6j-a7010,2020-12-12 14:30:13.203156,FJC2124D08D,Serial_us
ca09-pan-1,2020-12-12 14:30:13.203156,FJC2112D0N9,Serial_us
us6o-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2124D08L,Serial_us
us6o-a7010,2020-12-12 14:30:13.203156,FOC2102X00C,Serial_us
us11-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2122W0BM,Serial_us
us11-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM1934W0Q4,Serial_us
us27-fw-train.internal.synopsys.com,2020-12-12 14:30:13.203156,FJC2108D0K2,Serial_us
us8k-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC2135R1UQ,Serial_us
us6a-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1914R0RH,Serial_us
us6a-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC2135R1U8,Serial_us
cl01-c4506-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO21322DKP,Serial_us
cl01-vpn-sw-module.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO21322DKQ,Serial_us
us54-pan-1,2020-12-12 14:30:13.203156,FOC2138R1P8,Serial_us
us16-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FOC1801V178,Serial_us
us16-mpls-router.internal.synopsys.com,2020-12-12 14:30:13.203156,TKM21240515,Serial_us
US16-FW01,2020-12-12 14:30:13.203156,FJC2141D1CD,Serial_us
us26-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FCW2142D21L,Serial_us
us27-core-switch.internal.synopsys.com,2020-12-12 14:30:13.203156,FDO1943E0T1,Serial_us
us27-c3650-1.internal.synopsys.com,2020-12-12 14:30:13.203156,FLM2002W0YC,Serial_us
us27-vpn-router.internal.synopsys.com,2020-12-12 14:30:13.203156,FXS1747Q4SE,Serial_us
