machinetype,@timestamp,vendor,network_device_type,type
Cisco Catalyst 2960S-48TS-S,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_US
Cisco Catalyst 2960X-24TS-LL Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Cisco Catalyst 29xxStack,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco Catalyst 29xxStack,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 29xxStack,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Cisco Catalyst 3650-48PD-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 3650-48PS-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 3650-48TD-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Cisco Catalyst 3650-48TQ-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_US
Cisco Catalyst 38xx stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 38xx stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 4500 L3,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 4500 L3,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_US
Cisco Catalyst 4506-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 4506-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 4506-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_US
Cisco Catalyst 4510R+E,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco Catalyst 4510R+E,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 4510R+E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 68xx Virtual Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 9300 Series Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 94010R Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 9407R Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_US
Cisco Catalyst 9407R Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 9500 series with 32 Ports of 40G/16 Ports of 100G,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_US
Cisco Catalyst 9500 series with 32 Ports of 40G/16 Ports of 100G,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 9500 series with 48 Ports of 1G/10G/25G + 4 Ports of 40G/100G,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_US
Cisco Catalyst 9500 series with 48 Ports of 1G/10G/25G + 4 Ports of 40G/100G,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_US
Cisco CSR 1000V,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_US
Cisco CSR 1000V,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_US
Cisco ISR4451,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
Cisco ISR4451,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_US
Cisco ISR4451,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_US
Cisco Nexus 5548,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_US
Cisco Nexus 5596 UP,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_US
