items,@timestamp,type,network_device_type
ca09-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
us16-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
ca14-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
cl01-a7010,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_LOCAL
mobility-master-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_MASTER
mobility-master-2.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_MASTER
aruba-master,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_MASTER
hqdc-aruba-rap,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_RAP
sv1-aruba-vpnc,2022-01-11 14:30:01.842505,detailed,US_CONTROLLER_RAP
cl01-vpn-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
hqdc-vpn-1-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
hqdc-vpn-2-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
us03-vpn-1-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
us03-vpn-2-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
ca11-vpn-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
ca06-vpn-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
sdc-vpn-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
hqdc-pulse-lic-1,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
hqdc-pulse-lic-2,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
badc-scs-pulse,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
hq-test-vpn,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
badc-cloud-ram-1,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
us04-vpn-mgmt,2022-01-11 14:30:01.842505,detailed,US_JUNOS_PULSE
dc2-vcs-cluster.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
il01-pan-1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
gb14-c3650-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in19-n5596-1a,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03-c240-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02-sep03.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
fr65vwcpagent.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02secls1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
elasticinfosec05.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
elasticinfosec04.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
elasticinfosec03.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
elasticinfosec02.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
elasticinfosec01.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01vwcpagent.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02secls2.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02secls3.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
dc2-cpcollector.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02vwcpagent.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us01vwcpagent.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de02vwcpagent.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02secubuntu.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02vlsecubuntu.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
US1A-r05-ms01.dc-bur.bds.lan,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us08-packeteer,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
savvis-mgr1-drac,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
cn34-c4510-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
savvis-smartevent,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
10.203.29.1,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us01odc-p02-ctrl1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us01odc-p02-ctrl2.interna.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us01odc-p02-ctrl3.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us02vlbomgar.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
cms-portal.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de06-c3560x-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us6j-console.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
mdc-n9324-1a,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
mdc-n9324-1b,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
mdc-mpls-router.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
 us8e-packeteer.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
sv2-dsp-router-3.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
sv2-dsp-router-4.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
socs.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
sv2-vz-cube.synopsysa53c.globalipcom.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us26-packeteer,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03a-vg224-01.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03a-vg224-02.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03-cucm-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03-uccx-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
mdc-cucm-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
de02-cuc-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
mdc-cuc-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
indc-cucm-2.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in09-cucm-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
in09-cuc-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
indc-cuc-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01-cucm-2.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
jp01-cuc-1.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
us03-vz-cube.internal.synopsys.com,2022-01-11 14:30:01.842505,detailed,US_NON_NETWORK_STUFF
