machinetype,@timestamp,vendor,network_device_type,type
Cisco 3925K9,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 4321 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4321 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco 4331 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco 4351 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco 4431 ISR,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco ASR 1001 Router,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco ASR 1001-X Router,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco ASR 1001-X Router,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco ASR1002-X,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco Catalyst 2950t 24,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 2960-G48,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Cisco Catalyst 2960S-24TS-S,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 2960X-48TS-LL Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Cisco Catalyst 2960X-48TS-LL Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Cisco Catalyst 29xxStack,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco Catalyst 29xxStack,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 29xxStack,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Cisco Catalyst 3560-G48PS,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 3560-G48TS,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Cisco Catalyst 3650-24TD-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_IP_MGMT,MachineType_INT
Cisco Catalyst 3650-48PD-E,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco Catalyst 36xx stack-able ethernet switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_LAB,MachineType_INT
Cisco Catalyst 38xx stack,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco Catalyst 38xx stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 38xx stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco Catalyst 38xx stack,2020-12-12 14:30:13.203156,Cisco,SWITCH_DMZ,MachineType_INT
Cisco Catalyst 4500 L3,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco Catalyst 4500 L3,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco Catalyst 4500X-16 SFP+ Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 4506-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 4506-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco Catalyst 4510R+E,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 4510R+E,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco Catalyst 4510R-E,2020-12-12 14:30:13.203156,Cisco,SWITCH_ACCESS,MachineType_INT
Cisco Catalyst 4900M Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco Catalyst 68xx Virtual Switch,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
Cisco Catalyst 68xx Virtual Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_CORE,MachineType_INT
Cisco CSR 1000V,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco CSR 1000V,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco ISR4451,2020-12-12 14:30:13.203156,Cisco,ROUTER,MachineType_INT
Cisco ISR4451,2020-12-12 14:30:13.203156,Cisco,ROUTER_MPLS,MachineType_INT
Cisco ISR4451,2020-12-12 14:30:13.203156,Cisco,ROUTER_VPN,MachineType_INT
Cisco Nexus 5548,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Cisco Nexus 5596 UP,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Cisco Nexus 5672UP,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Cisco Nexus 6004 Switch,2020-12-12 14:30:13.203156,Cisco,SWITCH_DC,MachineType_INT
Cisco Unified Communications Manager,2020-12-12 14:30:13.203156,Cisco,NON_NETWORK_STUFF,MachineType_INT
